,rank,tax_id,tax_name,colind,CC11CM7,CC11CM15,CC11CM49,CC11CM87,CC11CM64,CC11CM85,CC11CM97,CC11CM80,CC11CM24,CC11CM41,CC11CM67,CC11CM6,CC11CM90,CC11CM18,CC11CM4,CC11CM13,CC11CM14,CC11CM51,CC11CM65,CC11CM74,CC11CM45,CC11CM50,CC11CM34,CC11CM84,CC11CM27,CC11CM78,CC11CM32,CC11CM81,CC11CM20,CC11CM75,CC11CM12,CC11CM28,CC11CM30,CC11CM68,CC11CM66,CC11CM58,CC11CM61,CC11CM22,CC11CM95,CC11CM17,CC11CM70,CC11CM86,CC11CM88,CC11CM54,CC11CM60,CC11CM16,CC11CM48,CC11CM35,CC11CM91,CC11CM1,CC11CM99,CC11CM72,CC11CM79,CC11CM94,CC11CM82,CC11CM93,CC11CM39,CC11CM0,CC11CM76,CC11CM69,CC11CM2,CC11CM57,CC11CM63,CC11CM62,CC11CM44,CC11CM37,CC11CM33,CC11CM53,CC11CM9,CC11CM23,CC11CM55,CC11CM42,CC11CM59,CC11CM73,CC11CM38,CC11CM25,CC11CM46,CC11CM5,CC11CM83,CC11CM11,CC11CM36,CC11CM26,CC11CM43,CC11CM8,CC11CM19,CC11CM3,CC11CM98,CC11CM77,CC11CM89,CC11CM10,CC11CM71,CC11CM21,CC11CM92,CC11CM29,CC11CM56,CC11CM52,CC11CM96,CC11CM47,CC11CM31,CC11CM40
0,order,186802,Clostridiales,AB036760.1.1411,12.0,,,,,7.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,7.0,,,,,,5.0,,,,8.0,,8.0,8.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,8.0,,,,3.0,,,,16.0,,,,,,16.0,,,11.0,23.0,,,
1,genus,704093,Anaerobacillus,AB212809.1.1543,647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,,,,,,,,,,
2,genus,375288,Parabacteroides,AB370251.1.1484,1107.0,,,,,,,,,,,,,,,,,,,306.0,,,,,,,,,,,206.0,,,,,,,,1743.0,,,,,1926.0,,,,5432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,phylum,976,Bacteroidetes,AB443948.1.1484,42.0,52.0,,,,,,,,,,174.0,,,,,,,,,,,,,40.0,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,63.0,,,,,,,,,,,,,,,
4,genus,816,Bacteroides,AB510698.1.1473,760.0,,,,,23.0,,,,,,,,,,,,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.0,,,,,,,,,,,,,,,,,,,,,,
5,genus,816,Bacteroides,AB547651.1.1480,71.0,,,,,,,,,,,,,,,,,,,,,288.0,,,474.0,,,,,,,,,,,,,157.0,,,,,,319.0,,,,,,,,,,31.0,,,,,,226.0,,,,10.0,,124.0,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,95.0,,,,,,148.0,
6,order,186802,Clostridiales,AB698912.1.1514,446.0,239.0,,50.0,530.0,100.0,,,242.0,,,,,,261.0,,,640.0,,373.0,,,,,,,37.0,,265.0,,148.0,,,108.0,,,,121.0,,,,400.0,80.0,232.0,,,,4.0,,,456.0,,,,225.0,,307.0,,,92.0,,,,,262.0,,,,172.0,,,33.0,,,90.0,,426.0,,,,,,,,165.0,,108.0,,13.0,,,,264.0,,,,,,,96.0
7,genus,816,Bacteroides,ABFZ02000011.1.1404,1423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.0,,,,,,,,,,,,,,,,,,,,1607.0
8,genus,816,Bacteroides,ABVO01000045.3575.5089,990.0,,,,1383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,771.0,,,,,,,,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,phylum,201174,Actinobacteria,ACGK02000001.81982.83485,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,genus,816,Bacteroides,AE015928.4983424.4984906,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,,,,,,,,,,,,,,,739.0,,,,,,,,,,,,,1699.0,,,,,,,,,,,,,,,,,,,,,,
11,genus,816,Bacteroides,AF183406.1.1453,1192.0,,,,,,,,,,,,,,,,,503.0,,1531.0,,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248.0,,,,,,,,,,,886.0,,
12,order,186802,Clostridiales,AGEL01000006.617172.618690,186.0,118.0,,,,173.0,,,,178.0,,,,,,,,,22.0,,,,,,,,,,,121.0,,,,,,,,,,,,,53.0,,,,85.0,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,60.0,77.0,,,,,175.0,,,,,,,,105.0,,,,,,,,
13,genus,816,Bacteroides,AGXE01000036.80799.82315,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,genus,816,Bacteroides,AGXJ01000088.187910.189429,1168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,genus,816,Bacteroides,AGXZ01000020.342567.344082,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,genus,375288,Parabacteroides,AGZO01000005.452.1966,2460.0,,,,,,,,,,,,,,,,,,,,2363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.0,,,,
17,genus,216851,Faecalibacterium,AJ270469.1.1466,3139.0,,3241.0,,,,,,,,,,,,,,,,5269.0,,,,,,6714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.0,,,,,,,,,,,,,,,,,,,6948.0,,,,,,,,,,,,,,,,,,,,8977.0,
18,order,186802,Clostridiales,AJ270473.1.1454,191.0,,,1334.0,,,,,,,,,,,,,,,,,,,,373.0,367.0,,190.0,,,,,633.0,,,,47.0,,,312.0,,,,,,296.0,,,,141.0,,,,,,,,,,214.0,,,,,186.0,,36.0,,332.0,,,,,,,,,236.0,,197.0,,637.0,457.0,1118.0,,,295.0,197.0,,,,,,,,,,,265.0,,
19,order,80840,Burkholderiales,AJ832129.1.1391,2058.0,,,,,,,,,,,,5589.0,,500.0,,,,,,,,,,,,666.0,,,,,,,832.0,,,,,,,4041.0,,,,,2648.0,,,,,,,,,,,,,5710.0,,,,,5739.0,3932.0,,,,,,,,,,,,,1143.0,,5691.0,,2323.0,4545.0,,,4638.0,,811.0,,,4956.0,,,,,,,,,
20,order,186802,Clostridiales,AM055815.1.1411,744.0,,,,,,,809.0,,748.0,,,,,,,459.0,1476.0,,,,,506.0,,,76.0,472.0,,,,,,,,,,,995.0,,,,,365.0,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,463.0,373.0,,,309.0,169.0,,,,,,,,,,21.0,,,,,305.0,,,417.0,,166.0
21,genus,704093,Anaerobacillus,AM774229.1.1387,2223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,order,186802,Clostridiales,AQOB01000013.872.2389,58.0,107.0,,,,,,,,,145.0,,,,,,,,124.0,,167.0,161.0,,,,,,,,,,,122.0,,30.0,,,,,,,,,,,,,,,,,34.0,,,128.0,,41.0,,,,,97.0,194.0,,,,,,,,,,144.0,85.0,,55.0,,,,51.0,,,,,,,,,,,,,95.0,,,121.0,,,,
23,genus,704093,Anaerobacillus,ARCA01000059.1.1389,992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,704.0,,,,,,,,,,,,,359.0,,,,,,,,,,,,,,
24,genus,704093,Anaerobacillus,ASVU01000001.1313489.1315035,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,class,91061,Bacilli,AULA01000029.31.1567,31.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,class,91061,Bacilli,AY117684.1.1456,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,family,186817,Bacillaceae,AY879306.1.1517,345.0,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,254.0,,,,,138.0,,,,,,,,,,,,,,48.0,,,,287.0,,428.0,,,,,,,,,,84.0,,,,207.0,,,,457.0,,,,,,,,,,,,79.0,,,,,,,,,,,,,,381.0,,,
28,order,186802,Clostridiales,AZJE01000010.133433.134953,353.0,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,phylum,1239,Firmicutes,EU096495.1.1449,61.0,,,,,156.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,117.0,,,,,,
30,genus,816,Bacteroides,EU136686.1.1972,2535.0,,,,,,,32.0,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4814.0,,,,,,,,,,,,,,,,,
31,order,186802,Clostridiales,FJ489247.1.1478,68.0,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,
32,order,135622,Alteromonadales,FQ670204.427305.428844,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,family,186817,Bacillaceae,GU326240.1.1428,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,family,186817,Bacillaceae,HQ428099.1.1438,1.0,,23.0,,45.0,,,,,,166.0,,120.0,,,,,,,,,46.0,4.0,,20.0,,,145.0,,,,30.0,,8.0,,,,,,83.0,,,,,,,,,96.0,,,,,124.0,,,243.0,,68.0,60.0,43.0,61.0,,40.0,,,,,19.0,13.0,35.0,,,,,,47.0,,,,,,,,,140.0,,,,,,,,,,21.0,,,47.0,
35,order,186802,Clostridiales,JF514886.1.1266,5.0,,,10.0,,,,,,,,,,,,,,,,23.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,order,186802,Clostridiales,JF750939.1.1409,615.0,647.0,,1024.0,1433.0,,,,815.0,,,,,,,,,,,,,,,,,,532.0,,,,58.0,,,,488.0,583.0,,,,,,,,,,232.0,,60.0,,380.0,,,,1287.0,202.0,,888.0,,294.0,,,553.0,,,,,,,,,,,,,,,187.0,,,,,,697.0,,,,,,,,,,,,,,,,,
37,order,186802,Clostridiales,JPJD01000056.3683.5194,1.0,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,6.0,,8.0,,,,,,2.0,9.0,,,4.0,,14.0,,11.0,14.0,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,7.0,,
38,class,91061,Bacilli,JQ346729.1.1360,2.0,,,,,,,1.0,,2.0,,,,,,,,1.0,,,2.0,,3.0,1.0,5.0,2.0,,,2.0,,,2.0,1.0,,,1.0,,,8.0,,1.0,2.0,,3.0,,,,1.0,,,,1.0,,2.0,,,,5.0,2.0,,,1.0,,,,2.0,1.0,4.0,3.0,,,,,,,,7.0,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,2.0,,
39,class,186801,Clostridia,JRNL01000120.1.1526,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,genus,551,Erwinia,KC210867.1.1405,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,
41,order,171549,Bacteroidales,KM360064.1.1408,385.0,,,,,,,,,,66.0,,445.0,,,,,,,,,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,,,,,,,260.0,,,,690.0,,58.0,,,,,,,,,,,,,,,,,195.0,,,,,,,,,,325.0,,,,
42,order,186802,Clostridiales,NR_025670.1,6.0,12.0,,10.0,17.0,,12.0,5.0,11.0,,,,12.0,,9.0,,7.0,1.0,4.0,,,3.0,2.0,8.0,,,,,,,,,,,,,,13.0,,,,13.0,,4.0,,,,,,18.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,12.0,31.0,,3.0,3.0,3.0,,,,,,,,17.0,,6.0,,,,,,,,,,
43,phylum,1239,Firmicutes,NR_025762.1,174.0,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,63.0,,,63.0,,,69.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,126.0,,,,,,,,,,,,,
44,order,186802,Clostridiales,NR_025981.1,113.0,,,,,53.0,,,,40.0,112.0,,,27.0,,,,,,,,31.0,,,,34.0,,,,,,9.0,,,,125.0,171.0,,,,,,,,,,,,155.0,,144.0,,,,,94.0,,,37.0,5.0,,,,,,,,18.0,,,,,,,4.0,,,,,,80.0,,,,,,139.0,,,47.0,55.0,,,,,,,,,
45,superkingdom_,1783272,Terrabacteria group,NR_026031.1,314.0,,,,221.0,,,,,,,,,,,881.0,,,,,313.0,,,,,,,,,1126.0,,,,715.0,,,,,,,,,,,,,,,,,,,,,503.0,,,,,,,,,,,,,297.0,,,,389.0,,,,,,,2911.0,7.0,,1831.0,,,,,464.0,,,,344.0,,,,443.0,,,,,
46,order,186802,Clostridiales,NR_026106.1,895.0,,,,,,,,,443.0,,,2778.0,,,,,,,,,,,387.0,,,,754.0,,,1719.0,,,2040.0,,,,,,,,,,,972.0,,,,,,,,360.0,,,,,,,,3827.0,,,,,950.0,,,,,,1110.0,1480.0,,,,,,,,,,,327.0,,,1325.0,,,,,,,,,,,,,
47,order,186802,Clostridiales,NR_026336.1,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,
48,order,186802,Clostridiales,NR_029355.1,1037.0,,,,,,,379.0,,,,,,,,,,,,,,1166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.0,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,1132.0,,,990.0,,,,,,
49,genus,342658,Gracilibacter,NR_041497.1,363.0,,,,,,,,,779.0,,1331.0,,,,,,,,,,,1428.0,,,,,1139.0,,,,,,,,,,45.0,,,,,1586.0,,,,,,,,,,,1697.0,,,,,,,,,,,,607.0,,761.0,,,,,,,,,,,,,275.0,,,,,,,,,,,,2680.0,,,,,,,
50,superkingdom_,1783272,Terrabacteria group,NR_042955.1,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,order,186802,Clostridiales,NR_074634.1,38.0,,7.0,39.0,,22.0,175.0,45.0,28.0,,66.0,23.0,,8.0,21.0,,76.0,51.0,58.0,11.0,68.0,,,,7.0,49.0,43.0,78.0,,,34.0,,,,64.0,,73.0,,42.0,,52.0,50.0,,,36.0,58.0,47.0,141.0,,6.0,,49.0,,50.0,74.0,36.0,13.0,21.0,,32.0,18.0,80.0,42.0,54.0,26.0,60.0,26.0,21.0,,46.0,,63.0,7.0,,19.0,42.0,3.0,,30.0,31.0,,38.0,,,10.0,,19.0,,104.0,,,13.0,,16.0,55.0,31.0,98.0,28.0,63.0,
52,class,186801,Clostridia,NR_102880.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,100.0,,156.0,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,113.0,,,,,,,,172.0,,,,
53,order,186802,Clostridiales,NR_102884.1,386.0,,,,,,,,,,,,,,,,,,,,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,479.0,,,,,,,682.0,,,,,,,,,,,,,,,396.0,,,,,,,,1041.0,,,547.0,,,,,,,,169.0,,,,892.0,,,,,,,
54,genus,216851,Faecalibacterium,NR_104846.1,792.0,903.0,987.0,685.0,1688.0,2531.0,,,2119.0,499.0,704.0,1065.0,1093.0,1972.0,,787.0,2578.0,1071.0,1574.0,,644.0,1140.0,1192.0,663.0,1698.0,1705.0,248.0,4706.0,,604.0,1168.0,1296.0,1449.0,,1185.0,2162.0,2751.0,1761.0,2476.0,714.0,706.0,3963.0,2238.0,607.0,,,,3102.0,,2584.0,1608.0,1355.0,1233.0,3133.0,1081.0,,2407.0,2284.0,164.0,1171.0,769.0,1423.0,61.0,3241.0,165.0,1304.0,913.0,506.0,1166.0,1320.0,1896.0,1432.0,613.0,2007.0,,320.0,550.0,521.0,,613.0,1508.0,1249.0,1611.0,694.0,101.0,1240.0,,3.0,1306.0,305.0,3312.0,18.0,2871.0,3004.0,315.0,,,,2539.0,474.0
55,genus,816,Bacteroides,NR_113092.1,4162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,genus,816,Bacteroides,NR_113207.1,4196.0,,,,,,,,,,,,,,,,,4369.0,,,,649.0,,,,,,,,,681.0,,,,,,,,,,,,,,,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,60.0,,587.0,3023.0,,,,,80.0,3097.0,,
57,genus,816,Bacteroides,NR_113353.1,1822.0,,,,,,,,,,,2046.0,,,4203.0,,,,,,432.0,1004.0,,,,,,,,,,,,3331.0,,,,861.0,,,,,53.0,,284.0,,,,,,,,635.0,,,,,,,,,,,,,,1015.0,,,,,5461.0,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,
